xintercept	key	showSelected1	showSelected2	PANEL
25.5	25	55	25	1
26.5	26	55	26	1
27.5	27	55	27	1
28.5	28	55	28	1
29.5	29	55	29	1
30.5	30	55	30	1
31.5	31	55	31	1
32.5	32	55	32	1
33.5	33	55	33	1
34.5	34	55	34	1
35.5	35	55	35	1
36.5	36	55	36	1
37.5	37	55	37	1
38.5	38	55	38	1
39.5	39	55	39	1
40.5	40	55	40	1
41.5	41	55	41	1
42.5	42	55	42	1
43.5	43	55	43	1
44.5	44	55	44	1
45.5	45	55	45	1
46.5	46	55	46	1
47.5	47	55	47	1
48.5	48	55	48	1
49.5	49	55	49	1
50.5	50	55	50	1
51.5	51	55	51	1
52.5	52	55	52	1
53.5	53	55	53	1
54.5	54	55	54	1
0.5	0	56	0	1
1.5	1	56	1	1
2.5	2	56	2	1
3.5	3	56	3	1
4.5	4	56	4	1
5.5	5	56	5	1
6.5	6	56	6	1
7.5	7	56	7	1
8.5	8	56	8	1
9.5	9	56	9	1
10.5	10	56	10	1
11.5	11	56	11	1
12.5	12	56	12	1
13.5	13	56	13	1
14.5	14	56	14	1
15.5	15	56	15	1
16.5	16	56	16	1
17.5	17	56	17	1
18.5	18	56	18	1
19.5	19	56	19	1
20.5	20	56	20	1
21.5	21	56	21	1
22.5	22	56	22	1
23.5	23	56	23	1
24.5	24	56	24	1
25.5	25	56	25	1
26.5	26	56	26	1
27.5	27	56	27	1
28.5	28	56	28	1
29.5	29	56	29	1
30.5	30	56	30	1
31.5	31	56	31	1
32.5	32	56	32	1
33.5	33	56	33	1
34.5	34	56	34	1
35.5	35	56	35	1
36.5	36	56	36	1
37.5	37	56	37	1
38.5	38	56	38	1
39.5	39	56	39	1
40.5	40	56	40	1
41.5	41	56	41	1
42.5	42	56	42	1
43.5	43	56	43	1
44.5	44	56	44	1
45.5	45	56	45	1
46.5	46	56	46	1
47.5	47	56	47	1
48.5	48	56	48	1
49.5	49	56	49	1
50.5	50	56	50	1
51.5	51	56	51	1
52.5	52	56	52	1
53.5	53	56	53	1
54.5	54	56	54	1
55.5	55	56	55	1
0.5	0	57	0	1
1.5	1	57	1	1
2.5	2	57	2	1
3.5	3	57	3	1
4.5	4	57	4	1
5.5	5	57	5	1
6.5	6	57	6	1
7.5	7	57	7	1
8.5	8	57	8	1
9.5	9	57	9	1
10.5	10	57	10	1
11.5	11	57	11	1
12.5	12	57	12	1
13.5	13	57	13	1
14.5	14	57	14	1
15.5	15	57	15	1
16.5	16	57	16	1
17.5	17	57	17	1
18.5	18	57	18	1
19.5	19	57	19	1
20.5	20	57	20	1
21.5	21	57	21	1
22.5	22	57	22	1
23.5	23	57	23	1
24.5	24	57	24	1
25.5	25	57	25	1
26.5	26	57	26	1
27.5	27	57	27	1
28.5	28	57	28	1
29.5	29	57	29	1
30.5	30	57	30	1
31.5	31	57	31	1
32.5	32	57	32	1
33.5	33	57	33	1
34.5	34	57	34	1
35.5	35	57	35	1
36.5	36	57	36	1
37.5	37	57	37	1
38.5	38	57	38	1
39.5	39	57	39	1
40.5	40	57	40	1
41.5	41	57	41	1
42.5	42	57	42	1
43.5	43	57	43	1
44.5	44	57	44	1
45.5	45	57	45	1
46.5	46	57	46	1
47.5	47	57	47	1
48.5	48	57	48	1
49.5	49	57	49	1
50.5	50	57	50	1
51.5	51	57	51	1
52.5	52	57	52	1
53.5	53	57	53	1
54.5	54	57	54	1
55.5	55	57	55	1
56.5	56	57	56	1
0.5	0	58	0	1
1.5	1	58	1	1
2.5	2	58	2	1
